кластер;фраз;сажать;статья;дыра;минус;ср_эффективность;сумма_ws;посадочная;действие
остекление;45;45;0;0;0;99;56330;https://real-besedki.ru/katalog/besedki-s-ostekleniem;каталог остекления
под ключ;41;41;0;0;0;98;33219;https://real-besedki.ru/uslugi/besedki-pod-klyuch;услуга под ключ / гео
размер 3х3;19;19;0;0;0;98;26098;https://real-besedki.ru/katalog/razmer/3x3;хаб размера
размер 6х3;5;5;0;0;0;98;3619;https://real-besedki.ru/katalog/razmer/6x3;хаб размера
размер 4х4;16;16;0;0;0;97;19622;https://real-besedki.ru/katalog/razmer/4x4;хаб размера
голова металл;173;173;0;0;0;95;367826;https://real-besedki.ru/katalog;сажать на каталог/главную
беседки с мангалом;99;99;0;0;0;91;615646;https://real-besedki.ru/katalog/besedki-s-mangalom;каталог беседок с мангалом
мангалы;323;323;0;0;0;90;1192324;https://real-besedki.ru/katalog/mangaly;каталог мангалов, не клон «беседка с мангалом»
гео ядро;23;23;0;0;0;89;61124;https://real-besedki.ru/uslugi/besedki-pod-klyuch;услуга под ключ / гео
навесы;253;253;0;0;0;82;2026133;https://real-besedki.ru/katalog/navesy;каталог навесов
открытые;7;7;0;0;0;81;2383;https://real-besedki.ru/katalog/otkrytye-besedki;каталог открытых
размер 2х2;1;1;0;0;0;77;19;https://real-besedki.ru/katalog/razmer/2x2;хаб размера
размер 6х4;1;1;0;0;0;77;4;https://real-besedki.ru/katalog/razmer/6x4;хаб размера
мягкие окна;376;0;376;0;0;57;933444;https://real-besedki.ru/blog/osteklenie-ili-myagkie-okna-dlya-besedki;сравнение, не продаём мягкие окна
масс рынок;851;0;0;0;0;18;5045269;https://real-besedki.ru/katalog;не бить ценой дерево 130–220к
дыры лидера;1;0;0;1;0;8;9;—;не создавать URL без SKU
минус;239;0;0;0;239;0;937020;—;минус-слова, не сажать
чужой металл;282;0;0;0;282;0;2422159;—;ворота/грядки/перила с чужих доменов, не сажать
шум морфологии;4;0;0;0;4;0;7356782;—;не сажать, это словоформа
